location,total_sqft,bath,price,bhk,encoded_loc
Electronic City Phase II,1056.0,2,39.07,2,78
Chikka Tirupathi,2600.0,5,120.0,4,61
Uttarahalli,1440.0,2,62.0,3,226
Lingadheeranahalli,1521.0,3,95.0,3,158
Kothanur,1200.0,2,51.0,2,150
Whitefield,1170.0,2,38.0,2,235
Old Airport Road,2732.0,4,204.0,4,182
Marathahalli,1310.0,3,63.25,3,165
Whitefield,1800.0,2,70.0,3,235
7th Phase JP Nagar,1000.0,2,38.0,2,8
Gottigere,1100.0,2,40.0,2,85
Sarjapur,2250.0,3,148.0,3,203
Mysore Road,1175.0,2,73.5,2,171
Bisuvanahalli,1180.0,3,48.0,3,50
Raja Rajeshwari Nagar,1540.0,3,60.0,3,194
Others,1100.0,2,48.0,2,184
Binny Pete,1755.0,3,122.0,3,49
Bellandur,1767.0,3,103.0,3,44
Others,510.0,1,25.25,1,184
Others,1250.0,3,56.0,3,184
Electronic City,660.0,1,23.1,2,77
Whitefield,1610.0,3,81.0,3,235
Ramagondanahalli,1151.0,2,48.77,2,197
Electronic City,1025.0,2,47.0,3,77
Yelahanka,3525.0,4,186.0,4,237
Bisuvanahalli,1075.0,2,35.0,3,50
Hebbal,1760.0,2,123.0,3,95
Raja Rajeshwari Nagar,1693.0,3,57.39,3,194
Kasturi Nagar,1925.0,3,125.0,3,135
Kanakpura Road,700.0,2,36.0,2,131
Electronics City Phase 1,1070.0,2,45.5,2,79
Kundalahalli,1724.0,3,125.0,3,154
Chikkalasandra,1290.0,2,56.12,3,63
Uttarahalli,1143.0,2,45.0,2,226
Murugeshpalya,1296.0,2,81.0,2,170
Sarjapur  Road,1254.0,3,38.0,3,204
Others,600.0,1,38.0,1,184
Yelahanka,660.0,1,48.0,1,237
Kanakpura Road,1330.74,2,91.79,2,131
Doddathoguru,970.0,2,33.0,2,73
Whitefield,1459.0,2,94.82,2,235
Others,869.0,2,36.0,2,184
Others,1270.0,2,50.0,2,184
Bhoganhalli,1670.0,3,99.0,3,47
Whitefield,2010.0,3,91.0,3,235
Lakshminarayana Pura,1185.0,2,75.0,2,157
Yelahanka,1600.0,2,75.0,3,237
Begur Road,1200.0,2,44.0,2,43
Devanahalli,4715.0,2,192.0,4,69
Others,840.0,2,45.0,2,184
Others,4395.0,3,240.0,3,184
Others,845.0,2,55.0,2,184
Varthur,1160.0,2,44.0,2,227
Doddathoguru,1100.0,2,62.0,2,73
Gunjur,1140.0,2,43.0,2,88
Marathahalli,1220.0,2,57.0,2,165
Kanakpura Road,1005.0,2,36.68,2,131
Begur Road,1358.0,2,80.58,2,43
Hegde Nagar,1569.0,3,101.0,3,97
Haralur Road,1240.0,2,70.0,2,93
Hennur Road,2089.0,3,140.0,3,99
Kothannur,1206.0,2,48.23,2,149
Kalena Agrahara,1150.0,2,40.0,2,125
Others,2511.0,3,205.0,3,184
ISRO Layout,4400.0,6,250.0,6,109
Others,1660.0,2,105.0,3,184
Hennur Road,4682.0,2,224.5,4,99
Yelahanka,1326.0,2,78.0,2,237
Garudachar Palya,1325.0,2,60.8,3,82
Hegde Nagar,3000.0,7,210.0,6,97
Kanakpura Road,1665.0,3,88.0,3,131
Dasanapura,708.0,2,37.0,2,67
Kasavanhalli,1060.0,2,58.06,2,134
Sanjay nagar,1000.0,2,70.0,2,201
Electronic City,1000.0,2,28.88,2,77
Others,1450.0,2,70.0,3,184
Thanisandra,1296.0,2,80.0,2,219
Domlur,1540.0,3,90.0,3,74
Sarjapura - Attibele Road,1330.0,2,48.0,3,205
Others,1200.0,2,65.0,2,184
Others,1200.0,3,90.0,3,184
Yeshwanthpur,2502.0,3,138.0,3,240
Kothanur,2400.0,2,150.0,3,150
Others,1007.0,2,43.0,2,184
Others,1200.0,2,50.0,2,184
Others,966.0,2,49.9,2,184
Nagarbhavi,1630.0,2,98.0,3,174
Others,782.0,2,55.68,2,184
Devanahalli,1260.0,2,66.78,2,69
Others,1800.0,3,120.0,3,184
Others,1413.0,2,75.0,3,184
Whitefield,1116.0,2,51.91,2,235
Electronic City,1530.0,2,45.9,3,77
Ramamurthy Nagar,3700.0,4,225.0,4,198
Sarjapur  Road,2497.0,3,140.0,3,204
Kengeri,1540.0,2,64.0,3,139
Thanisandra,1436.0,3,74.75,3,219
Malleshwaram,1100.0,2,75.0,2,164
Hebbal,7145.0,4,477.0,4,95
Shampura,2650.0,4,150.0,4,209
Devanahalli,1282.0,2,68.52,3,69
Kadugodi,1050.0,2,34.0,2,121
LB Shastri Nagar,1600.0,3,65.0,3,155
Others,945.0,2,54.0,2,184
Hormavu,1500.0,2,78.0,2,103
Others,1870.0,3,110.0,3,184
Sarjapur,1600.0,3,75.0,3,203
Kudlu Gate,1535.0,3,83.0,3,152
Kanakpura Road,950.0,2,57.0,2,131
Devanahalli,1360.0,2,65.0,2,69
8th Phase JP Nagar,1594.5,2,54.005,2,9
Bommasandra Industrial Area,1280.0,3,50.4,3,53
Others,1260.0,2,85.05,3,184
Yelahanka,3050.0,5,213.0,5,237
Kasavanhalli,1563.05,3,105.0,3,134
ISRO Layout,1000.0,2,60.0,2,109
Anandapura,1167.0,2,43.76,2,17
Kothanur,1828.0,3,110.0,3,150
Kengeri Satellite Town,890.0,2,35.0,2,140
Others,1612.0,3,46.74,3,184
Mysore Road,1710.0,4,91.31,3,171
Kannamangala,957.0,2,58.0,2,132
 Devarachikkanahalli,1250.0,2,44.0,3,0
Hulimavu,1125.0,2,50.0,2,108
Electronic City Phase II,1020.0,2,30.6,2,78
Kalena Agrahara,1200.0,2,50.0,2,125
Thanisandra,1735.0,3,135.0,3,219
Thanisandra,2050.0,3,145.0,3,219
Others,1350.0,2,48.0,3,184
Hosa Road,1063.0,2,32.0,2,104
Others,1904.0,3,150.0,3,184
Others,1425.0,2,75.0,3,184
Electronic City,1500.0,2,64.5,3,77
Electronic City,1060.0,2,60.0,2,77
Others,1470.0,2,70.0,3,184
Electronic City,1152.0,2,64.5,2,77
